Date,Predicted_Passengers
2026-03-31,4292809.577790095
2026-04-30,3930146.460962912
2026-05-31,4723773.692775869
2026-06-30,4805894.626000324
2026-07-31,5112386.809092971
2026-08-31,5528411.42437376
2026-09-30,5699808.100954465
2026-10-31,5792373.035777453
2026-11-30,4690537.84701921
2026-12-31,4981863.561286955
2027-01-31,4562427.439358048
2027-02-28,4847408.484974272
2027-03-31,4437549.948917894
2027-04-30,4091473.551715017
2027-05-31,4857500.2346992325
2027-06-30,4932631.209350962
2027-07-31,5234492.701514804
2027-08-31,5626707.488887111
2027-09-30,5812474.891221144
2027-10-31,5884109.742996217
2027-11-30,4876543.293155658
2027-12-31,5133422.245078472
2028-01-31,4733297.255640486
2028-02-29,4981757.649281282
