date,Actual,Forecast,Error_Percentage
2020-01-01,4241751,4292809.577790095,1.2037146402533891
2020-02-01,3742224,3930146.460962912,5.021678578377779
2020-03-01,1885466,4723773.692775869,150.53613763259952
2020-04-01,138817,4805894.626000324,3362.0360805955497
2020-05-01,286570,5112386.809092971,1683.9923261656736
2020-06-01,555119,5528411.42437376,895.8966319606715
2020-07-01,765274,5699808.100954465,644.806187189747
2020-08-01,852578,5792373.035777453,579.3950859367064
2020-09-01,905992,4690537.84701921,417.72398067744643
2020-10-01,1073882,4981863.561286955,363.9116365938674
2020-11-01,1052317,4562427.439358048,333.56017619767124
2020-12-01,918723,4847408.484974272,427.624592502231
2021-01-01,769908,4437549.948917894,476.37405364249935
2021-02-01,736324,4091473.551715017,455.662120440868
2021-03-01,1160020,4857500.2346992325,318.74280052923507
2021-04-01,1455944,4932631.209350962,238.79264651325616
2021-05-01,1739021,5234492.701514804,201.00227090499794
2021-06-01,2245539,5626707.488887111,150.57269051604584
2021-07-01,2732010,5812474.891221144,112.75452473531004
2021-08-01,2649154,5884109.742996217,122.11278555328293
2021-09-01,2419859,4876543.293155658,101.52179499531411
2021-10-01,2711638,5133422.245078472,89.31075036854006
2021-11-01,2799681,4733297.255640486,69.06559195995851
2021-12-01,2915455,4981757.649281282,70.87410538942574
2022-01-01,2092568,4582108.436712745,118.97058717866014
2022-02-01,2256082,4245273.478023462,88.17017635101304
2022-03-01,3092467,4995922.267368411,61.551352605166386
2022-04-01,3411366,5067158.723599818,48.537527887650214
2022-05-01,3676113,5366440.184689592,45.98137175569934
2022-06-01,4094678,5745389.112243541,40.31357562776709
2022-07-01,4218011,5939163.293710599,40.80483179656475
2022-08-01,4106428,5999136.761430896,46.09136605903954
2022-09-01,3888243,5044092.987505941,29.72679401739914
2022-10-01,3972446,5281779.615910323,32.96038803070761
2022-11-01,3654498,4892413.997659715,33.87376317238961
2022-12-01,3746158,5120526.581518101,36.68741632141786
2023-01-01,3360186,4726565.585372355,40.66380805623126
2023-02-01,3138399,4394879.577285512,40.03571812524515
2023-03-01,3867517,5136960.434852124,32.82321538217218
2023-04-01,3979317,5206027.025111147,30.827150114231845
2023-05-01,4373786,5503870.998678433,25.837683843663882
2023-06-01,4673688,5875428.733096903,25.71290024273985
2023-07-01,4960657,6073663.963585707,22.436684567905164
2023-08-01,4727673,6127140.186275829,29.601607096680095
2023-09-01,4349809,5201359.893723349,19.57674219082606
2023-10-01,4443937,5428353.346428179,22.15189698747258
2023-11-01,4115294,5044982.408624305,22.591056887413277
2023-12-01,4151304,5261758.0272165835,26.749523215273648
2024-01-01,3616327,4870966.272021136,34.693745118213485
2024-02-01,3417847,4542149.048081628,32.89503737533096
2024-03-01,4132743,5279456.205382113,27.747024322153912
2024-04-01,4137383,5347313.835294833,29.243868292948306
2024-05-01,4504588,5644356.899757543,25.302400569320493
2024-06-01,4654071,6011796.564430519,29.172858867656277
2024-07-01,4989844,6212517.308512716,24.503237145544343
2024-08-01,4860068,6262373.532686033,28.853619593101026
2024-09-01,4409452,5352897.6520301085,21.395984172865663
2024-10-01,4671217,5573933.305699732,19.325077505492295
2024-11-01,4224750,5193902.358033999,22.93987473895494
2024-12-01,4592649,5404361.48444263,17.67416766320766
2025-01-01,4025815,5015335.500352656,24.57938331375524
2025-02-01,3544840,4688116.645307986,32.25185467631786
2025-03-01,4276931,5422764.092561708,26.79101188589921
2025-04-01,4457148,5489948.13934186,23.171771261395406
2025-05-01,4861243,5786544.970092096,19.03426695789732
2025-06-01,5123766,6151690.215160834,20.061888368064302
2025-07-01,5269263,6353795.785500895,20.58224813414884
2025-08-01,4824285,6401635.094935615,32.696038789905955
2025-09-01,4421622,5501243.364039894,24.416862500681745
2025-10-01,4795986,5718959.576381587,19.244709562988454
2025-11-01,4295692,5340789.53426737,24.32896805141918
2025-12-01,4549432,5547729.370233666,21.943340844168375
2026-01-01,4001271,5159687.201399718,28.951205789353395
2026-02-01,3701198,4833358.891963495,30.58903879131824
